Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-01,MAHASTEEL,EQ,131.35,136.7,137.35,128.0,128.0,133.8,134.77,103294,1392092475000.0,360,44224,0.42810000000000004
2016-07-04,MAHASTEEL,EQ,133.8,131.95,138.95,131.95,135.0,134.95,133.91,58673,785672160000.0,222,4343,0.07400000000000001
2016-07-05,MAHASTEEL,EQ,134.95,136.0,136.4,133.0,136.0,136.25,135.04,59297,800763730000.0,304,13721,0.23140000000000002
2016-07-07,MAHASTEEL,EQ,136.25,137.0,137.6,131.35,135.0,136.6,135.95,68796,935293619999.9999,242,12567,0.1827
2016-07-08,MAHASTEEL,EQ,136.6,137.0,138.0,132.7,135.5,133.85,134.75,39177,527895825000.0,169,11048,0.282
2016-07-11,MAHASTEEL,EQ,133.85,138.0,138.55,133.05,135.9,135.7,135.83,87642,1190434275000.0,165,28375,0.32380000000000003
2016-07-12,MAHASTEEL,EQ,135.7,135.5,138.0,133.4,136.0,136.0,134.71,83765,1128426545000.0,405,20420,0.2438
2016-07-13,MAHASTEEL,EQ,136.0,158.0,158.0,131.6,135.0,136.95,135.36,78238,1059051785000.0,298,7324,0.0936
2016-07-14,MAHASTEEL,EQ,136.95,141.0,141.5,134.1,139.75,138.95,137.69,100658,1385984060000.0,222,15433,0.1533
2016-07-15,MAHASTEEL,EQ,138.95,141.0,144.4,135.2,141.0,141.9,139.15,90548,1260004380000.0,239,29589,0.3268
2016-07-18,MAHASTEEL,EQ,141.9,143.5,165.0,137.0,155.65,153.5,145.64,163973,2388057280000.0,723,35807,0.2184
2016-07-19,MAHASTEEL,EQ,153.5,165.0,179.9,154.2,162.9,164.4,163.41,119528,1953221970000.0,801,37291,0.312
2016-07-20,MAHASTEEL,EQ,164.4,164.0,171.25,164.0,169.0,170.2,167.43,99401,1664239995000.0,556,13634,0.13720000000000002
2016-07-21,MAHASTEEL,EQ,170.2,173.0,202.0,172.5,199.05,199.65,187.39,218918,4102332979999.9995,2706,49590,0.22649999999999998
2016-07-22,MAHASTEEL,EQ,199.65,202.85,219.6,198.5,219.5,219.2,213.34,279211,5956673985000.0,4732,62198,0.22280000000000003
2016-07-25,MAHASTEEL,EQ,219.2,219.0,237.0,212.0,223.5,231.2,230.09,264054,6075668910000.0,2509,41236,0.1562
2016-07-26,MAHASTEEL,EQ,231.2,229.0,244.0,208.3,215.0,219.2,226.08,208615,4716453070000.0,3469,48736,0.2336
2016-07-27,MAHASTEEL,EQ,219.2,219.9,220.0,212.0,213.5,216.8,216.97,75024,1627826605000.0,967,25075,0.3342
2016-07-28,MAHASTEEL,EQ,216.8,212.0,223.0,198.0,220.0,219.35,218.58,30702,671094005000.0,612,4906,0.1598
2016-07-29,MAHASTEEL,EQ,219.35,223.4,230.0,215.75,222.9,225.15,221.3,78477,1736734055000.0,766,15385,0.196
2016-08-01,MAHASTEEL,EQ,225.15,229.8,235.0,226.35,230.3,234.15,231.43,70774,1637947030000.0,813,21741,0.3072
2016-08-02,MAHASTEEL,EQ,234.15,232.95,237.0,226.55,231.5,235.75,233.83,105951,2477411300000.0,1040,39773,0.3754
2016-08-03,MAHASTEEL,EQ,235.75,237.0,247.0,227.0,243.0,244.2,240.04,104880,2517546225000.0,1784,24231,0.231
2016-08-04,MAHASTEEL,EQ,244.2,248.0,268.6,247.05,268.6,268.6,261.58,86657,2266814705000.0,1776,27670,0.31930000000000003
