Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-11-11,APOLLOPIPE,EQ,376.4,394.95,394.95,360.05,376.3,376.25,378.16,2459,92989645000.0,108,1684,0.6848000000000001
2019-11-13,APOLLOPIPE,EQ,376.25,376.1,382.95,366.0,373.05,373.45,375.54,4783,179619180000.0,101,3854,0.8058
2019-11-14,APOLLOPIPE,EQ,373.45,374.05,378.5,369.0,369.0,370.95,373.26,8624,321902645000.0,251,5504,0.6382
2019-11-15,APOLLOPIPE,EQ,370.95,376.95,376.95,355.15,358.8,356.9,361.46,8011,289563615000.0,377,5371,0.6705
2019-11-18,APOLLOPIPE,EQ,356.9,367.4,374.95,354.95,374.0,370.65,368.03,7449,274147740000.0,816,5815,0.7806000000000001
2019-11-19,APOLLOPIPE,EQ,370.65,374.95,374.95,360.0,365.6,365.8,368.93,5825,214900385000.0,318,4162,0.7145
2019-11-20,APOLLOPIPE,EQ,365.8,371.9,371.95,356.05,360.6,361.7,361.78,8948,323725040000.0,522,5721,0.6394
2019-11-21,APOLLOPIPE,EQ,361.7,358.0,365.45,356.05,356.05,358.6,360.03,2041,73483105000.0,356,1271,0.6227
2019-11-22,APOLLOPIPE,EQ,358.6,358.6,370.0,355.0,365.0,365.75,363.89,5841,212549835000.0,671,4799,0.8216
2019-11-25,APOLLOPIPE,EQ,365.75,362.0,364.95,345.05,350.1,348.75,354.05,15902,563005605000.0,1472,11212,0.7051000000000001
2019-11-26,APOLLOPIPE,EQ,348.75,355.0,355.0,340.0,343.0,345.5,344.64,12153,418846735000.0,875,7988,0.6573000000000001
2019-11-27,APOLLOPIPE,EQ,345.5,342.0,350.0,339.9,343.9,341.65,342.24,6248,213831745000.00003,910,3930,0.629
2019-11-28,APOLLOPIPE,EQ,341.65,340.9,349.45,339.95,348.0,347.0,344.29,2334,80358275000.0,594,1073,0.4597
2019-11-29,APOLLOPIPE,EQ,347.0,353.4,353.4,340.7,346.8,346.05,345.56,2948,101870425000.0,384,2059,0.6984
2019-12-02,APOLLOPIPE,EQ,346.05,353.95,353.95,340.25,346.4,346.8,343.81,1501,51606525000.0,253,1000,0.6662
2019-12-03,APOLLOPIPE,EQ,346.8,343.0,349.0,335.3,340.0,340.0,341.38,2711,92547815000.0,526,1805,0.6658
2019-12-04,APOLLOPIPE,EQ,340.0,340.0,348.0,335.0,342.1,345.2,341.86,5342,182623765000.0,931,2456,0.4598
2019-12-05,APOLLOPIPE,EQ,345.2,340.5,350.0,340.25,349.95,345.9,346.18,1519,52585040000.0,386,759,0.4997
2019-12-06,APOLLOPIPE,EQ,345.9,354.95,354.95,333.1,340.0,341.15,343.18,5538,190055070000.0,919,2926,0.5283
2019-12-09,APOLLOPIPE,EQ,341.15,348.95,348.95,332.0,332.05,335.15,338.3,7201,243612615000.0,1544,5224,0.7255
2019-12-10,APOLLOPIPE,EQ,335.15,336.0,337.4,327.0,333.95,332.95,331.79,6459,214305429999.99997,816,3451,0.5343
2019-12-11,APOLLOPIPE,EQ,332.95,340.0,340.0,325.1,339.95,332.8,331.07,6570,217513400000.0,962,5440,0.828
2019-12-12,APOLLOPIPE,EQ,332.8,335.0,342.0,329.9,335.25,339.4,337.4,3872,130642605000.0,591,2685,0.6934
2019-12-13,APOLLOPIPE,EQ,339.4,335.3,351.5,335.25,347.55,348.85,344.32,4486,154460785000.0,386,2170,0.48369999999999996
2019-12-16,APOLLOPIPE,EQ,348.85,353.5,353.5,331.2,343.85,342.05,342.01,11610,397073020000.0,1484,6700,0.5771000000000001
2019-12-17,APOLLOPIPE,EQ,342.05,343.25,345.45,335.95,340.0,340.1,341.15,3492,119128610000.00002,365,2643,0.7569
2019-12-18,APOLLOPIPE,EQ,340.1,338.0,347.0,331.35,336.5,335.65,338.6,7782,263499645000.00003,1182,5089,0.6539
2019-12-19,APOLLOPIPE,EQ,335.65,336.05,344.0,334.0,341.5,342.25,338.65,5228,177045595000.0,506,2538,0.4855
2019-12-20,APOLLOPIPE,EQ,342.25,344.4,346.45,337.5,337.5,339.5,341.77,2853,97508115000.0,380,2075,0.7273000000000001
2019-12-23,APOLLOPIPE,EQ,339.5,337.5,348.7,334.95,339.65,339.45,338.33,3215,108772360000.00002,391,1604,0.4989
