Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-13,KEERTI,EQ,30.9,32.35,32.35,29.4,29.5,29.45,30.2,2006,6058170000.0,59,1087,0.5418999999999999
2020-11-14,KEERTI,EQ,29.45,30.7,30.7,30.4,30.4,30.4,30.57,261,797970000.0,3,261,1.0
2020-11-17,KEERTI,EQ,30.4,30.0,30.0,28.9,28.9,28.9,29.14,1170,3409700000.0,8,1102,0.9419
2020-11-18,KEERTI,EQ,28.9,28.9,28.9,27.5,27.5,27.5,27.58,1673,4614575000.0,33,1448,0.8654999999999999
2020-11-19,KEERTI,EQ,27.5,26.8,28.85,26.15,26.5,26.6,27.29,21354,58273730000.00001,136,4951,0.23190000000000002
2020-11-20,KEERTI,EQ,26.6,27.5,27.5,25.55,26.75,26.75,26.63,2442,6502450000.0,22,1905,0.7801
2020-11-23,KEERTI,EQ,26.75,27.75,27.75,26.05,27.0,26.85,27.2,1842,5010405000.0,21,1099,0.5966
2020-11-24,KEERTI,EQ,26.85,26.1,27.0,26.1,26.95,26.95,26.95,214,576625000.0,5,213,0.9953000000000001
2020-11-25,KEERTI,EQ,26.95,27.0,27.0,25.65,25.65,26.05,26.7,15335,40940440000.0,72,220,0.0143
2020-11-26,KEERTI,EQ,26.05,26.95,27.0,24.75,24.75,24.95,25.01,5834,14591515000.0,32,5274,0.904
2020-11-27,KEERTI,EQ,24.95,24.95,26.0,23.75,24.0,24.0,24.04,11091,26660205000.0,70,4877,0.4397
2020-12-01,KEERTI,EQ,24.0,24.6,25.2,23.55,25.2,25.2,24.94,7958,19847290000.0,61,4972,0.6248
2020-12-02,KEERTI,EQ,25.2,26.25,26.45,25.2,26.45,26.45,26.3,138866,365286065000.0,134,77574,0.5586
2020-12-03,KEERTI,EQ,26.45,27.5,27.75,26.75,27.75,27.75,27.26,116082,316455405000.0,219,22920,0.1974
2020-12-04,KEERTI,EQ,27.75,28.0,28.0,26.85,27.05,27.25,26.99,106072,286323655000.0,102,59125,0.5574
2020-12-07,KEERTI,EQ,27.25,27.65,28.6,27.0,27.3,27.25,27.6,150147,414443345000.0,414,17991,0.1198
2020-12-08,KEERTI,EQ,27.25,27.9,27.9,26.0,26.05,26.15,26.87,35038,94145940000.0,122,12399,0.3539
2020-12-09,KEERTI,EQ,26.15,26.05,28.75,25.2,27.4,27.4,27.47,121330,333291480000.0,213,48754,0.4018
2020-12-10,KEERTI,EQ,27.4,27.0,28.0,26.25,28.0,27.45,27.01,33189,89653260000.0,127,11471,0.3456
2020-12-11,KEERTI,EQ,27.45,28.45,28.45,27.0,28.1,28.25,28.07,21374,59991150000.0,48,9774,0.4573
